3 r 9.9936; phi -0.2018; x 0.4895; y -0.1001; t_rel 0.7308;
3 r 9.9831; phi -0.2024; x 0.4890; y -0.1003; t_rel 0.7302;
3 r 9.9727; phi -0.2030; x 0.4884; y -0.1005; t_rel 0.7296;
3 r 9.9623; phi -0.2037; x 0.4878; y -0.1007; t_rel 0.7290;
3 r 9.9519; phi -0.2043; x 0.4872; y -0.1009; t_rel 0.7284;
3 r 9.9417; phi -0.2049; x 0.4867; y -0.1011; t_rel 0.7279;
3 r 9.9315; phi -0.2055; x 0.4861; y -0.1014; t_rel 0.7273;
3 r 9.9213; phi -0.2062; x 0.4856; y -0.1016; t_rel 0.7267;
3 r 9.9112; phi -0.2068; x 0.4850; y -0.1018; t_rel 0.7261;
3 r 9.9011; phi -0.2074; x 0.4844; y -0.1020; t_rel 0.7256;
3 r 9.8911; phi -0.2081; x 0.4839; y -0.1022; t_rel 0.7250;
